OriginatingLender,0
"Bank of America, National Association",491036
Cross River Bank,478866
"Prestamos CDFI, LLC",444783
"JPMorgan Chase Bank, National Association",438566
"Harvest Small Business Finance, LLC",408174
"Capital Plus Financial, LLC",395359
Benworth Capital,311023
"Wells Fargo Bank, National Association",280718
Fountainhead SBF LLC,272227
Customers Bank,249679
"BSD Capital, LLC dba Lendistry",206724
"Kabbage, Inc.",179816
"U.S. Bank, National Association",174822
Itria Ventures LLC,172885
Celtic Bank Corporation,167202
"TD Bank, National Association",133140
"PNC Bank, National Association",119352
WebBank,119182
Truist Bank,117956
"Readycap Lending, LLC",106256
