,BorrowerState,OriginatingLender,CurrentApprovalAmount
0,AE,Navy FCU,40525
1,AE,"Prestamos CDFI, LLC",20000
2,AE,"JPMorgan Chase Bank, National Association",3462
3,AK,Northrim Bank,589906298
4,AK,First National Bank Alaska,566358275
5,AK,KeyBank National Association,162103340
6,AK,Alaska USA FCU,118345958
7,AK,First Bank,100304334
8,AK,"Wells Fargo Bank, National Association",96089853
9,AK,Mt. McKinley Bank,57735775
10,AK,Denali State Bank,56264408
11,AK,"Bank of America, National Association",31022027
12,AK,NuVision FCU,20485715
13,AK,First Source FCU,18542140
14,AK,Matanuska Valley FCU,17669634
15,AK,Truist Bank,13309354
16,AK,CoBank ACB,8677861
17,AK,Umpqua Bank,8551156
18,AK,East West Bank,8382400
19,AK,"National Cooperative Bank, National Association",8005580
20,AK,Idaho First Bank,7802493
21,AK,Cross River Bank,7618682
22,AK,First Sound Bank,6428900
23,AK,Celtic Bank Corporation,6114646
24,AK,Peoples State Bank,1092
25,AL,ServisFirst Bank,974161563
26,AL,Regions Bank,940539687
27,AL,Synovus Bank,490062607
28,AL,First Source FCU,357650352
29,AL,Cadence Bank,291365502
30,AL,Trustmark National Bank,258284303
31,AL,First Horizon Bank,257826733
32,AL,Hancock Whitney Bank,246080063
33,AL,River Bank & Trust,240813930
34,AL,Progress Bank and Trust,212719250
35,AL,Renasant Bank,200687339
36,AL,Bryant Bank,198319677
37,AL,"Prestamos CDFI, LLC",178953376
38,AL,Bank Independent,149102501
39,AL,Truist Bank,147462884
40,AL,Peoples Bank of Alabama,130991578
41,AL,Itria Ventures LLC,128316484
42,AL,"Capital Plus Financial, LLC",127050413
43,AL,"SouthState Bank, National Association",122450461
44,AR,Arvest Bank,688027302
45,AR,Simmons Bank,403497815
46,AR,Centennial Bank,324300979
47,AR,First Security Bank,314078983
48,AR,Regions Bank,173626706
49,AR,Southern Bancorp Bank,138228724
50,AR,First Horizon Bank,135255437
51,AR,Cadence Bank,133803974
52,AR,The First National Bank of Fort Smith,126313573
53,AR,Bank OZK,123996871
54,AR,First National Bank,92750113
55,AR,First Community Bank,82221858
56,AR,Arkansas Capital Corporation,69900805
57,AR,The Citizens Bank,68578470
58,AR,First Financial Bank,65386500
59,AR,Relyance Bank National Association,61325500
60,AR,"Bank of America, National Association",56879755
61,AR,"Prestamos CDFI, LLC",56469442
62,AR,Farmers Bank & Trust Company,53980714
63,AR,Legacy National Bank,52304865
64,AS,"ANZ Guam, Inc",5901093
65,AS,Territorial Bank of American Samoa,5157042
66,AS,"Bank of America, National Association",725055
67,AS,Central Pacific Bank,424500
68,AS,Development Bank of American Samoa,190404
69,AS,Greater Nevada CU,137380
70,AS,Washington Trust Bank,41600
71,AS,First Bank of the Lake,20832
72,AS,Cross River Bank,15179
73,AS,American Express National Bank,15000
74,AZ,"JPMorgan Chase Bank, National Association",1648384636
75,AZ,"Zions Bank, A Division of",951633970
76,AZ,"Bank of America, National Association",674479598
77,AZ,MidFirst Bank,593185303
78,AZ,"Wells Fargo Bank, National Association",552588716
79,AZ,Western Alliance Bank,483473527
80,AZ,First Source FCU,467254477
81,AZ,"BOKF, National Association",380925161
82,AZ,BMO Harris Bank National Association,276186436
83,AZ,"Readycap Lending, LLC",253625853
84,AZ,Cross River Bank,236807849
85,AZ,"UMB Bank, National Association",199202018
86,AZ,"U.S. Bank, National Association",184239169
87,AZ,Glacier Bank,182692174
88,AZ,Arizona Bank & Trust,178373731
89,AZ,First Fidelity Bank,158503776
90,AZ,"Prestamos CDFI, LLC",153212698
91,AZ,Western State Bank,152224423
92,AZ,"Harvest Small Business Finance, LLC",133486514
93,AZ,South Ottumwa Savings Bank,3036
94,CA,"Bank of America, National Association",9517223273
95,CA,"JPMorgan Chase Bank, National Association",6981201370
96,CA,"Wells Fargo Bank, National Association",5063251155
97,CA,City National Bank,4572211430
98,CA,"U.S. Bank, National Association",2950570507
99,CA,Bank of the West,2889999398
100,CA,"MUFG Union Bank, National Association",2880900688
101,CA,"Zions Bank, A Division of",2573763948
102,CA,Cross River Bank,2287078987
103,CA,East West Bank,2004498715
