BorrowerState,OriginatingLender,OriginatingLender
AE,Navy FCU,2
AE,"JPMorgan Chase Bank, National Association",1
AE,"Prestamos CDFI, LLC",1
AK,Northrim Bank,5627
AK,First National Bank Alaska,5349
AK,Alaska USA FCU,2546
AK,First Bank,1950
AK,"Wells Fargo Bank, National Association",1667
AK,KeyBank National Association,759
AK,Denali State Bank,723
AK,Mt. McKinley Bank,593
AK,Matanuska Valley FCU,424
AK,NuVision FCU,377
AK,Celtic Bank Corporation,322
AK,Cross River Bank,258
AK,"Square Capital, LLC",203
AK,"Prestamos CDFI, LLC",153
AK,Customers Bank,146
AK,Benworth Capital,140
AK,"Kabbage, Inc.",134
AK,Northern Skies FCU,134
AK,Spirit of Alaska FCU,133
AK,Fountainhead SBF LLC,128
AL,"Prestamos CDFI, LLC",11468
AL,Regions Bank,10948
AL,"Capital Plus Financial, LLC",8125
AL,Benworth Capital,6594
AL,"Harvest Small Business Finance, LLC",5722
AL,Fountainhead SBF LLC,5054
AL,ServisFirst Bank,4922
AL,"BSD Capital, LLC dba Lendistry",4171
AL,Cross River Bank,4025
AL,River Bank & Trust,3838
AL,Cadence Bank,3789
AL,Itria Ventures LLC,3755
AL,Trustmark National Bank,3603
AL,Synovus Bank,3443
AL,Bank Independent,3072
AL,First Source FCU,3046
AL,"Kabbage, Inc.",2980
AL,Customers Bank,2910
AL,Progress Bank and Trust,2697
AL,First Southern State Bank,2632
AR,Arvest Bank,11786
AR,Simmons Bank,4881
AR,First Security Bank,4402
AR,Centennial Bank,4219
AR,"Prestamos CDFI, LLC",3921
AR,Benworth Capital,3068
AR,"Capital Plus Financial, LLC",2804
AR,"Harvest Small Business Finance, LLC",2290
AR,Cadence Bank,2165
AR,Southern Bancorp Bank,2133
AR,Regions Bank,2058
AR,"BSD Capital, LLC dba Lendistry",2029
AR,Fountainhead SBF LLC,1808
AR,Bank OZK,1740
AR,First National Bank,1581
AR,First Horizon Bank,1540
AR,Anstaff Bank,1483
AR,First Community Bank,1416
AR,The First National Bank of Fort Smith,1249
AR,The Farmers & Merchants Bank,1232
AS,Territorial Bank of American Samoa,196
AS,"ANZ Guam, Inc",106
AS,Development Bank of American Samoa,10
AS,Greater Nevada CU,5
AS,Central Pacific Bank,2
AS,American Express National Bank,1
AS,"Bank of America, National Association",1
AS,Cross River Bank,1
AS,First Bank of the Lake,1
AS,Washington Trust Bank,1
AZ,"JPMorgan Chase Bank, National Association",17148
AZ,"Bank of America, National Association",11702
AZ,"Wells Fargo Bank, National Association",10679
AZ,"Prestamos CDFI, LLC",9508
AZ,"Zions Bank, A Division of",8328
AZ,Cross River Bank,7517
AZ,"Capital Plus Financial, LLC",7230
AZ,MidFirst Bank,5926
AZ,"Harvest Small Business Finance, LLC",5587
AZ,Benworth Capital,4308
AZ,"U.S. Bank, National Association",3994
AZ,Fountainhead SBF LLC,3805
AZ,Celtic Bank Corporation,3687
AZ,"Readycap Lending, LLC",3452
AZ,First Source FCU,3447
AZ,"Kabbage, Inc.",3005
AZ,"BSD Capital, LLC dba Lendistry",2911
AZ,Customers Bank,2907
AZ,BMO Harris Bank National Association,2319
AZ,WebBank,2121
CA,"Bank of America, National Association",133825
CA,"JPMorgan Chase Bank, National Association",86974
CA,"Wells Fargo Bank, National Association",82631
CA,Cross River Bank,74060
CA,Customers Bank,63804
CA,"Harvest Small Business Finance, LLC",59122
CA,"Prestamos CDFI, LLC",48947
CA,"U.S. Bank, National Association",47687
CA,"Capital Plus Financial, LLC",41912
CA,Benworth Capital,34565
CA,Celtic Bank Corporation,30955
CA,"BSD Capital, LLC dba Lendistry",28584
CA,WebBank,24868
CA,Fountainhead SBF LLC,22736
CA,"Readycap Lending, LLC",21131
CA,"MUFG Union Bank, National Association",20431
CA,City National Bank,19609
CA,"Zions Bank, A Division of",18010
CA,Bank of the West,17831
CA,Itria Ventures LLC,16035
CO,FirstBank,18684
CO,"U.S. Bank, National Association",11591
CO,"Wells Fargo Bank, National Association",10984
CO,"JPMorgan Chase Bank, National Association",10385
CO,Bank of Colorado,7495
CO,Alpine Bank,6044
CO,"Zions Bank, A Division of",6020
CO,Cross River Bank,5339
CO,KeyBank National Association,3623
CO,Bank of the West,3593
CO,Independent Bank,3419
CO,First National Bank of Omaha,3354
CO,"Kabbage, Inc.",2966
CO,ANB Bank,2690
CO,Celtic Bank Corporation,2681
CO,DreamSpring,2634
CO,Glacier Bank,2624
CO,"Prestamos CDFI, LLC",2593
CO,"Harvest Small Business Finance, LLC",2555
CO,Customers Bank,2520
CT,Manufacturers and Traders Trust Company,15513
CT,Webster Bank National Association,13618
CT,"Bank of America, National Association",9497
CT,"TD Bank, National Association",5972
